image_name,image_path,source_type,processing_channel,method,attack,level,mse,psnr,ssim,nc,ber
boat_gray,data/misc/boat.512.tiff,gray,gray,dft,jpeg,90.0,9.954090118408203,38.150787925983195,0.9780088425415694,1.0,0.0
boat_gray,data/misc/boat.512.tiff,gray,gray,dft,jpeg,70.0,36.83150863647461,32.46860852735847,0.9290732253836027,1.0,0.0
boat_gray,data/misc/boat.512.tiff,gray,gray,dft,jpeg,50.0,62.96309280395508,30.13994308055951,0.8896355529529363,0.99609375,0.001953125
boat_gray,data/misc/boat.512.tiff,gray,gray,dft,jpeg,30.0,102.34063720703125,28.030322441607154,0.8361857959486392,0.98828125,0.005859375
boat_gray,data/misc/boat.512.tiff,gray,gray,dft,noise,5.0,25.22186279296875,34.113032020713064,0.94471252161227,1.0,0.0
boat_gray,data/misc/boat.512.tiff,gray,gray,dft,noise,10.0,99.59130477905273,28.148589386221584,0.8269021928532909,0.99853515625,0.000732421875
boat_gray,data/misc/boat.512.tiff,gray,gray,dft,noise,20.0,392.2069664001465,22.195650575068925,0.6015245670173597,0.98193359375,0.009033203125
boat_gray,data/misc/boat.512.tiff,gray,gray,dft,resize,0.5,326.21499252319336,22.99576443953761,0.6633225005989533,0.87060546875,0.064697265625
boat_gray,data/misc/boat.512.tiff,gray,gray,dft,resize,0.75,160.9344482421875,26.064313454811135,0.840593791909074,0.99951171875,0.000244140625
boat_gray,data/misc/boat.512.tiff,gray,gray,dft,resize,1.5,52.91867446899414,30.89471403621744,0.9509135990196433,1.0,0.0
boat_gray,data/misc/boat.512.tiff,gray,gray,dct,jpeg,90.0,7.955722808837891,39.12400717723869,0.9624362013863891,0.998046875,0.0009765625
boat_gray,data/misc/boat.512.tiff,gray,gray,dct,jpeg,70.0,20.23291778564453,35.070218440471486,0.915979372037038,0.15625,0.421875
boat_gray,data/misc/boat.512.tiff,gray,gray,dct,jpeg,50.0,29.270606994628906,33.466486322269255,0.8944680666007617,0.3203125,0.33984375
boat_gray,data/misc/boat.512.tiff,gray,gray,dct,jpeg,30.0,42.80918884277344,31.815433620559084,0.8674077803431282,0.419921875,0.2900390625
boat_gray,data/misc/boat.512.tiff,gray,gray,dct,noise,5.0,25.387332916259766,34.08463282703602,0.8921473631261062,0.90234375,0.048828125
boat_gray,data/misc/boat.512.tiff,gray,gray,dct,noise,10.0,100.21310043334961,28.121558621508598,0.7095589641858029,0.595703125,0.2021484375
boat_gray,data/misc/boat.512.tiff,gray,gray,dct,noise,20.0,394.6089744567871,22.16913402828727,0.4535221927600061,0.3359375,0.33203125
boat_gray,data/misc/boat.512.tiff,gray,gray,dct,resize,0.5,81.14908981323242,29.037967078246677,0.8414580529486785,-0.013671875,0.5068359375
boat_gray,data/misc/boat.512.tiff,gray,gray,dct,resize,0.75,40.9441032409668,32.00888997245529,0.9084230885348568,0.986328125,0.0068359375
boat_gray,data/misc/boat.512.tiff,gray,gray,dct,resize,1.5,13.070945739746094,36.96773349056788,0.9682160109426885,0.998046875,0.0009765625
boat_gray,data/misc/boat.512.tiff,gray,gray,dwt,jpeg,90.0,7.904476165771484,39.15207266593728,0.9624769127737315,1.0,0.0
boat_gray,data/misc/boat.512.tiff,gray,gray,dwt,jpeg,70.0,20.013900756835938,35.117486189549105,0.9176937979685343,1.0,0.0
boat_gray,data/misc/boat.512.tiff,gray,gray,dwt,jpeg,50.0,29.07680892944336,33.49533618253745,0.8961795772978136,1.0,0.0
boat_gray,data/misc/boat.512.tiff,gray,gray,dwt,jpeg,30.0,42.65348434448242,31.831258465889295,0.8691033956716054,1.0,0.0
boat_gray,data/misc/boat.512.tiff,gray,gray,dwt,noise,5.0,25.387332916259766,34.08463282703602,0.891501931564882,1.0,0.0
boat_gray,data/misc/boat.512.tiff,gray,gray,dwt,noise,10.0,100.21310043334961,28.121558621508598,0.7085535652825936,1.0,0.0
boat_gray,data/misc/boat.512.tiff,gray,gray,dwt,noise,20.0,394.608585357666,22.169138310594455,0.45283994648711184,1.0,0.0
boat_gray,data/misc/boat.512.tiff,gray,gray,dwt,resize,0.5,80.98049545288086,29.046999313375412,0.843307089838614,1.0,0.0
boat_gray,data/misc/boat.512.tiff,gray,gray,dwt,resize,0.75,40.866493225097656,32.0171298859138,0.9090901424229875,1.0,0.0
boat_gray,data/misc/boat.512.tiff,gray,gray,dwt,resize,1.5,13.029380798339844,36.98156583854789,0.968471185746016,1.0,0.0
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dft,jpeg,90.0,5.050666809082031,41.097316416824256,0.978535057619131,0.9990234375,0.00048828125
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dft,jpeg,70.0,22.625442504882812,34.58483279043729,0.9181759061066413,0.99609375,0.001953125
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dft,jpeg,50.0,40.76723098754883,32.02769146783122,0.8621782057263729,0.98681640625,0.006591796875
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dft,jpeg,30.0,66.84951782226562,29.879820817737897,0.7917157384386758,0.970703125,0.0146484375
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dft,noise,5.0,24.044597625732422,34.32062847097353,0.8864645950163994,0.99853515625,0.000732421875
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dft,noise,10.0,93.4471664428711,28.42514223873043,0.6894242106229922,0.99462890625,0.002685546875
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dft,noise,20.0,358.0097122192383,22.59185552363677,0.41542783347360857,0.97607421875,0.011962890625
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dft,resize,0.5,202.57568740844727,25.064930395768556,0.6239189034881367,0.95263671875,0.023681640625
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dft,resize,0.75,104.28937911987305,27.948402789466364,0.8269378230642896,0.99853515625,0.000732421875
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dft,resize,1.5,34.41487121582031,32.76334212152159,0.946889368698245,0.9990234375,0.00048828125
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dct,jpeg,90.0,0.2996177673339844,53.365127974135255,0.9940741715889228,0.931640625,0.0341796875
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dct,jpeg,70.0,0.8002738952636719,49.09841710321377,0.9905125211931948,0.712890625,0.1435546875
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dct,jpeg,50.0,1.3030586242675781,46.98116405920344,0.9890488654435214,0.712890625,0.1435546875
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dct,jpeg,30.0,2.8461227416992188,43.5882673536096,0.9835008177853445,0.7109375,0.14453125
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dct,noise,5.0,24.177936553955078,34.2966112726583,0.7242918706022063,0.826171875,0.0869140625
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dct,noise,10.0,94.07081604003906,28.39625449434144,0.4124868273357789,0.53515625,0.232421875
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dct,noise,20.0,359.7942771911621,22.57026109596191,0.1685478643669118,0.283203125,0.3583984375
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dct,resize,0.5,9.620849609375,38.29866934945413,0.9844042926525421,0.71875,0.140625
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dct,resize,0.75,6.769489288330078,39.82524455495395,0.9903908013803442,1.0,0.0
